"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L89","68.41%","Y_L54","51.16%","Y_L60","52.13%","Y_L54","47.09%","Y_L54","46.71%","CCV5_L80","45.54%"
"2","Y_L54","61.63%","Y_L60","49.42%","Y_L54","49.61%","Y_L60","46.32%","Y_L89","39.92%","Y_L54","39.15%"
"3","Y_L42","58.33%","Y_L42","46.51%","Y_L89","44.19%","Y_L89","45.35%","Y_L60","37.98%","CCV5_L81","34.5%"
"4","Y_L60","58.33%","Y_L89","46.12%","F4_L78","38.37%","Y_L48","38.76%","F4_L78","33.72%","CCV5_L45","32.95%"
"5","Y_L46","57.75%","F4_L78","38.76%","Y_L72","36.24%","F4_L78","38.18%","Y_L48","32.95%","F4_L78","30.43%"
"6","Y_L48","56.78%","Y_L72","36.43%","Y_L42","36.05%","Y_L72","32.56%","Y_L72","28.68%","CCV5_L69","30.04%"
"7","Y_L72","54.46%","Y_L66","34.69%","Y_L48","34.3%","F8_L53","31.4%","Y_L42","25.78%","CCV5_L52","26.94%"
"8","Y_L52","54.26%","F8_L53","33.72%","F8_L53","32.17%","Y_L42","31.2%","Y_L66","25%","CCV6_L80","25.78%"
"9","Y_L44","53.68%","Y_L48","33.33%","Y_L66","31.78%","F8_L77","31.01%","Y_L52","24.81%","Y_L89","25.39%"
"10","Y_L53","53.29%","F8_L77","31.01%","F7_L63","31.59%","F7_L63","30.62%","F8_L53","24.81%","CCV5_L44","25%"
"11","Y_L79","52.13%","Y_L55","30.43%","F8_L77","30.43%","F6_L89","29.84%","Y_L53","24.42%","CCV5_L56","24.03%"
"12","Y_L45","51.94%","F7_L64","30.04%","Y_L84","30.04%","F7_L68","29.46%","F7_L63","24.22%","CCV6_L62","23.84%"
"13","Y_L85","49.42%","Y_L52","29.46%","F7_L68","28.1%","Y_L84","28.1%","Y_L55","24.03%","CCV5_L76","23.84%"
"14","Y_L66","45.74%","Y_L79","29.26%","Y_L55","27.33%","Y_L55","27.91%","Y_L84","23.64%","CCV5_L57","23.45%"
"15","Y_L87","45.54%","Y_L53","28.88%","Y_L53","27.13%","F7_L64","27.13%","NMEU1_L46","22.48%","CCV6_L52","23.26%"
